"","name","info","point","value"
"43","
                老人与海

                
              ","海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元",8.4,"(
                    101078人评价
                )"
"44","
                1984

                
              ","[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00",9.3,"(
                    89029人评价
                )"
"45","
                黄金时代

                
                   : 时代三部曲 
              ","王小波 / 花城出版社 / 1999-3 / 19.00元",8.8,"(
                    92077人评价
                )"
"46","
                1Q84 BOOK 1

                
                   : 4月～6月 
              ","[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元",8.3,"(
                    97775人评价
                )"
"47","
                人类简史

                
                   : 从动物到上帝 
              ","[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00",9.1,"(
                    86741人评价
                )"
"48","
                哈利·波特与混血王子

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元",8.8,"(
                    87828人评价
                )"
"49","
                房思琪的初恋乐园

                
              ","林奕含 / 北京联合出版公司 / 2018-1 / 45.00元",9.2,"(
                    85053人评价
                )"
"50","
                三国演义（全二册）

                
              ","[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元",9.2,"(
                    83219人评价
                )"
"51","
                鲁滨逊漂流记

                
              ","[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元",8,"(
                    93074人评价
                )"
"52","
                哈利·波特与凤凰社

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元",8.7,"(
                    84283人评价
                )"
"53","
                牧羊少年奇幻之旅

                
              ","[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元",8.6,"(
                    87521人评价
                )"
"54","
                向左走·向右走

                
              ","幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元",8.4,"(
                    89194人评价
                )"
"55","
                悟空传

                
                   : 修订版 
              ","今何在 / 光明日报出版社 / 2001-4 / 14.80元",8.3,"(
                    90593人评价
                )"
"56","
                苏菲的世界

                
              ","（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元",8.5,"(
                    86440人评价
                )"
"57","
                哈利·波特与死亡圣器

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元",9,"(
                    78910人评价
                )"
"58","
                天龙八部

                
              ","金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0",9.1,"(
                    77938人评价
                )"
"59","
                骆驼祥子

                
              ","老舍 / 人民文学出版社 / 2000-3-1 / 12.00",8.3,"(
                    82687人评价
                )"
"60","
                无声告白

                
              ","[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元",8.2,"(
                    85202人评价
                )"
"61","
                莲花

                
              ","安妮宝贝 / 作家出版社 / 2006-3 / 25.00元",8,"(
                    85560人评价
                )"
"62","
                呼啸山庄

                
              ","（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元",8.4,"(
                    80859人评价
                )"
"63","
                局外人

                
              ","[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元",9,"(
                    75146人评价
                )"
"64","
                白鹿原

                
              ","陈忠实 / 人民文学出版社 / 1997-12 / 28.00元",8.7,"(
                    76082人评价
                )"
"65","
                基督山伯爵

                
              ","大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元",9,"(
                    74223人评价
                )"
"66","
                亲爱的安德烈

                
              ","龙应台 / 人民文学出版社 / 2008-12 / 26.00",8.7,"(
                    78679人评价
                )"
"67","
                茶花女

                
              ","小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元",8.2,"(
                    79559人评价
                )"
"68","
                灿烂千阳

                
              ","[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元",8.8,"(
                    72931人评价
                )"
"69","
                一个陌生女人的来信

                
              ","[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元",8.7,"(
                    74659人评价
                )"
"70","
                海边的卡夫卡

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元",8.1,"(
                    77761人评价
                )"
"71","
                沉默的大多数

                
                   : 王小波杂文随笔全编 
              ","王小波 / 中国青年出版社 / 1997-10 / 27.00元",9.1,"(
                    69072人评价
                )"
"72","
                笑傲江湖（全四册）

                
              ","金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元",9,"(
                    68723人评价
                )"
"73","
                福尔摩斯探案全集（上中下）

                
              ","[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元",9.2,"(
                    66657人评价
                )"
"74","
                兄弟（上）

                
              ","余华 / 上海文艺出版社 / 2005-8 / 16.00元",8.3,"(
                    73001人评价
                )"
"75","
                月亮与六便士

                
              ","[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元",8.8,"(
                    69849人评价
                )"
"76","
                了不起的盖茨比

                
              ","菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元",8.3,"(
                    72155人评价
                )"
"77","
                东方快车谋杀案

                
              ","[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元",9,"(
                    65000人评价
                )"
"78","
                少有人走的路

                
                   : 心智成熟的旅程 
              ","[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元",8.4,"(
                    70176人评价
                )"
"79","
                情书

                
              ","[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元",8.6,"(
                    66800人评价
                )"
"80","
                无人生还

                
              ","[英] 阿加莎<U+30FB>克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00",8.9,"(
                    64647人评价
                )"
"81","
                巴黎圣母院

                
              ","[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元",8.3,"(
                    66733人评价
                )"
"82","
                神雕侠侣

                
              ","金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元",8.9,"(
                    62311人评价
                )"
"83","
                肖申克的救赎

                
              ","[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元",9.1,"(
                    59334人评价
                )"
"84","
                羊脂球

                
              ","（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元",8.1,"(
                    66392人评价
                )"
"85","
                呐喊

                
              ","鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元",8.9,"(
                    60139人评价
                )"
"86","
                乌合之众

                
                   : 大众心理研究 
              ","（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元",8.2,"(
                    66254人评价
                )"
"87","
                民主的细节

                
                   : 美国当代政治观察随笔 
              ","刘瑜 / 上海三联书店 / 2009-6 / 25.00",8.6,"(
                    62742人评价
                )"
"88","
                动物农场

                
              ","[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元",9.2,"(
                    57482人评价
                )"
"89","
                爱你就像爱生命

                
              ","王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元",8.8,"(
                    59418人评价
                )"
"90","
                遇见未知的自己

                
              ","张德芬 / 华夏出版社 / 2008-1 / 29.00",8,"(
                    65486人评价
                )"
"91","
                安徒生童话故事集

                
              ","（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00",9.2,"(
                    55205人评价
                )"
"92","
                当我谈跑步时我谈些什么

                
              ","[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00",8.2,"(
                    62986人评价
                )"
"93","
                红玫瑰与白玫瑰

                
              ","张爱玲 / 花城出版社 / 1996-06 / 12.80元",8.4,"(
                    60577人评价
                )"
"94","
                城南旧事

                
                   : 纪念普及版 
              ","林海音 文 / 中国青年出版社 / 2003-7 / 16.00元",9,"(
                    53997人评价
                )"
"95","
                我不喜欢这世界，我只喜欢你

                
              ","乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元",8,"(
                    57970人评价
                )"
"96","
                巨人的陨落

                
                   : 世纪三部曲 
              ","[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元",8.9,"(
                    52852人评价
                )"
"97","
                鬼吹灯之精绝古城

                
              ","天下霸唱 / 安徽文艺出版社 / 2006 / 25.00元",8.1,"(
                    57463人评价
                )"
"98","
                阿Q正传

                
              ","鲁迅 著 / 上海书店出版社 / 2003-7 / 14.50元",8.7,"(
                    51949人评价
                )"
"99","
                半生缘

                
              ","张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元",8.6,"(
                    52663人评价
                )"
"100","
                华胥引（全二册）

                
              ","唐七公子 / 现代出版社 / 2011-1 / 39.80元",8.4,"(
                    54925人评价
                )"
"101","
                这些都是你给我的爱

                
              ","文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元",8.4,"(
                    53815人评价
                )"
"102","
                陪安东尼度过漫长岁月

                
              ","安东尼 / 长江文艺出版社 / 2008-3 / 18.00",8.3,"(
                    54124人评价
                )"
"103","
                这些人，那些事

                
              ","吴念真 / 译林出版社 / 2011-9 / 28.00元",8.8,"(
                    50062人评价
                )"
"104","
                梦里花落知多少

                
              ","三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元",8.8,"(
                    49969人评价
                )"
"105","
                喜宝

                
              ","亦舒 / 新世界出版社 / 2007-2 / 22.00元",8,"(
                    54877人评价
                )"
"106","
                射雕英雄传（全四册）

                
              ","金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元",8.9,"(
                    47168人评价
                )"
"107","
                一只特立独行的猪

                
              ","王小波 / 北方文艺出版社 / 2006-4 / 18.80元",8.8,"(
                    48380人评价
                )"
